step	commit	score	topology	specs_met	notes
1	23deda0	1.00	2-stage-pelliconi-xcoupled	5/5	Vout=3.59V Iout=1.19mA Eff=67.0% Ripple=5.0mV Startup=0.74us
2	134c2a0	1.00	2-stage-pelliconi-xcoupled	5/5	Vout=4.34V Iout=1.24mA Eff=80.8% Ripple=24.4mV Startup=0.87us
3	7d98e31	1.00	2-stage-pelliconi-xcoupled	5/5	Vout=4.35V Iout=1.24mA Eff=80.9% Ripple=24.6mV Startup=0.87us MaxIout@3V=2.19mA
4	5aec91f	1.00	2-stage-pelliconi-xcoupled	5/5	Vout=3.91V Iout=1.97mA Eff=72.9% Ripple=7.3mV Startup=0.74us MaxIout@3V=2.70mA
5	4b04521	1.00	2-stage-pelliconi-xcoupled	5/5	Vout=4.49V Iout=1.53mA Eff=83.5% Ripple=3.6mV Startup=0.74us MaxIout@3V=3.22mA
6	5427683	1.00	2-stage-pelliconi-xcoupled	5/5	Vout=3.14V Iout=1.08mA Eff=58.2% Ripple=4.7mV Startup=1.14us MaxIout@3V=1.10mA (regression: wider ranges hurt convergence)
